[Saturn]
|Nr. | Name | vorl. Bez. | a[1] | e[1] | i[1] | T[1] | D[1] | M | entdeckt|
|XLVII | Skoll | S/2006 S 8 | 17.665.000 | 0,464 | 161,2 | 878,3 | 6 |  | 5. Jan. 2006|
|XLVIII | Surtur | S/2006 S 7 | 22.707.000 | 0,451 | 177,5 | 1297,7 | 6 |  | 5. Jan. 2006|
|XLIX | Anthe | S/2007 S 4 | 197.700 | 0,001 | 0,100 | 1,04 | 1 |  | 30. Mai 2007|
|L | Jarnsaxa | S/2006 S 6 | 18.811.000 | 0,216 | 163,3 | 964,7 | 6 |  | 5. Jan. 2006|
|LI | Greip | S/2006 S 4 | 18.206.000 | 0,326 | 179,8 | 921,2 | 6 |  | 5. Jan. 2006|
|LII | Tarqeq | S/2007 S 1 | 18.009.000 | 0,160 | 46,09 | 887,5 | 7 |  | 13. Apr. 2007|
|LIII | Aegaeon | S/2008 S 1 | 167.500 | 0,000 | 0,001 | 0,808 | 0,5 |  | 15. Aug. 2008|
|LIV |  | S/2004 S 20 | 19.211.000 | 0,204 | 163,1 | 990,23 | 4 |  | 12. Dez. 2004|
| |  | S/2004 S 7 | 19.800.000 | 0,580 | 165,1 | 1103 | 6 |  | 12. Dez. 2004|
| |  | S/2004 S 12 | 19.650.000 | 0,401 | 164,0 | 1048 | 5 |  | 12. Dez. 2004|
| |  | S/2004 S 13 | 18.450.000 | 0,273 | 167,4 | 906 | 6 |  | 12. Dez. 2004|
| |  | S/2004 S 17 | 18.600.000 | 0,259 | 166,6 | 986 | 4 |  | 13. Dez. 2004|
| |  | S/2004 S 21 | 23.810.400 | 0,312 | 154,6 | 1365,1 | 3 |  | 12. Dez. 2004|
|LV |  | S/2004 S 22 | 20.379.900 | 0,257 | 177,4 | 1080,4 | 3 |  | 12. Dez. 2004|
|LVI |  | S/2004 S 23 | 21.427.000 | 0,399 | 177,7 | 1164,3 | 4 |  | 12. Dez. 2004|
| |  | S/2004 S 24 | 23.231.300 | 0,049 | 36,78 | 1317,6 | 3 |  | 12. Dez. 2004|
|LVII |  | S/2004 S 25 | 20.544.500 | 0,457 | 173,3 | 1095,0 | 3 |  | 12. Dez. 2004|
|LVIII |  | S/2004 S 26 | 26.737.800 | 0,148 | 171,3 | 1624,2 | 4 |  | 12. Dez. 2004|
|LIX |  | S/2004 S 27 | 19.776.700 | 0,120 | 167,1 | 1033,0 | 4 |  | 12. Dez. 2004|
| |  | S/2004 S 28 | 21.791.300 | 0,133 | 171,0 | 1197,2 | 4 |  | 12. Dez. 2004|
|LX |  | S/2004 S 29 | 17.470.700 | 0,472 | 44,43 | 858,77 | 4 |  | 12. Dez. 2004|
|LXI |  | S/2004 S 30 | 20.424.000 | 0,113 | 156,3 | 1084,1 | 3 |  | 12. Dez. 2004|
| |  | S/2004 S 31 | 17.402.800 | 0,242 | 48,11 | 853,80 | 4 |  | 12. Dez. 2004|
|LXII |  | S/2004 S 32 | 21.564.200 | 0,262 | 161,5 | 1175,3 | 4 |  | 12. Dez. 2004|
|LXIII |  | S/2004 S 33 | 23.764.800 | 0,417 | 161,5 | 1361,5 | 4 |  | 12. Dez. 2004|
|LXIV |  | S/2004 S 34 | 24.358.900 | 0,267 | 165,7 | 1412,5 | 3 |  | 12. Dez. 2004|
|LXV |  | S/2004 S 35 | 21.953.200 | 0,182 | 176,4 | 1208,1 | 4 |  | 12. Dez. 2004|
| |  | S/2004 S 36 | 23.698.700 | 0,667 | 147,6 | 1354,2 | 3 |  | 12. Dez. 2004|
| |  | S/2004 S 37 | 16.003.300 | 0,506 | 164,0 | 752,88 | 4 |  | 12. Dez. 2004|
|LXVI |  | S/2004 S 38 | 23.006.200 | 0,381 | 155,0 | 1295,8 | 4 |  | 12. Dez. 2004|
| |  | S/2004 S 39 | 22.790.400 | 0,081 | 167,6 | 1277,5 | 2 |  | 12. Dez. 2004|
| |  | S/2006 S 1 | 18.735.600 | 0,080 | 155,2 | 953,70 | 5 |  | 26. Juni 2006|
| |  | S/2006 S 3 | 21.408.300 | 0,434 | 151,7 | 1164,3 | 6 |  | 5. Jan. 2006|
| |  | S/2007 S 2 | 15.850.000 | 0,275 | 176,6 | 742,08 | 4 |  | 18. Jan. 2007|
| |  | S/2007 S 3 | 20.518.500 | 0,130 | 177,2 | 1100 | 5 |  | 18. Jan. 2007|
| |  | S/2009 S 1 | 117.000 | 0,000 | 0,0 | 0,4715 | 0,3 |  | 26. Juli 2009|
| |  | S/2019 S 1 | 11.221.100 | 0,623 | 44,4 | 443,78 | 5 |  | 1. Juli 2019|
